r0,r1,l0,l1,i1,i2
84.53061224489795,58.43314917127072,85.06738544474393,57.555747126436785,0,0
84.53061224489795,58.43314917127072,85.06738544474393,57.555747126436785,1,1
82.16326530612244,57.82762430939226,85.55256064690028,57.24080459770115,1,1
92.53061224489795,69.33259668508288,76.98113207547169,47.477586206896554,1,1
81.26530612244898,67.51602209944751,79.16442048517521,55.272413793103446,1,1
77.75510204081633,68.04585635359116,77.30458221024259,60.7051724137931,1,1
70.9795918367347,70.69502762430939,75.76819407008085,67.24022988505747,1,1
66.08163265306123,74.1767955801105,71.48247978436657,72.27931034482759,1,1
62.32653061224491,80.53480662983425,62.83018867924528,77.63333333333334,1,1
59.551020408163254,81.82154696132596,62.83018867924528,82.04252873563219,1,1
57.51020408163265,82.12430939226519,58.94878706199461,83.77471264367816,2,2
58.734693877551024,85.37900552486188,58.22102425876011,80.3103448275862,2,2
55.46938775510205,82.2756906077348,56.03773584905662,83.22356321839081,3,3
54.571428571428584,84.39502762430939,54.2587601078167,80.46781609195402,4,4
52.12244897959184,81.59447513812155,55.22911051212938,81.33390804597701,4,4
50.897959183673464,82.72983425414364,54.17789757412399,81.09770114942529,4,4
49.591836734693885,85.07624309392266,51.34770889487871,82.59367816091954,5,5
48.448979591836746,82.80552486187845,50.13477088948787,81.80632183908045,5,5
46.734693877551024,82.50276243093923,47.951482479784374,82.1212643678161,5,5
45.591836734693885,83.56243093922652,47.46630727762803,81.64885057471264,5,5
45.265306122448976,83.71381215469613,46.49595687331535,81.96379310344828,5,5
44.36734693877551,82.72983425414364,46.01078167115904,82.82988505747126,6,6
47.061224489795904,89.0878453038674,40.916442048517524,77.47586206896551,6,6
44.69387755102042,85.30331491712707,44.15094339622641,80.3103448275862,6,6
44.69387755102042,87.04419889502762,42.53369272237197,82.1212643678161,6,6
44.28571428571428,87.19558011049723,41.88679245283018,83.38103448275862,6,6
43.30612244897958,86.28729281767956,42.614555256064676,84.01091954022988,7,7
46.081632653061234,89.23922651933702,40.916442048517524,81.64885057471264,7,7
43.46938775510205,86.6657458563536,42.45283018867926,84.0896551724138,7,7
42.408163265306115,87.42265193370166,41.967654986522916,85.34942528735633,8,8
41.265306122448976,88.33093922651933,42.048517520215626,85.1132183908046,8,8
42.244897959183675,88.17955801104972,41.88679245283018,86.68793103448276,9,9
40.36734693877551,89.46629834254144,42.12938005390836,87.55402298850575,9,9
39.551020408163254,90.1475138121547,41.72506738544473,87.94770114942528,9,9
